Age,Department,JobRole,MonthlyIncome,Attrition_Probability,Actual_Attrition,Risk_Level
35,Research & Development,Manufacturing Director,10274,0.1060682667563179,No,Low
28,Research & Development,Research Scientist,2377,0.10583400438352294,No,Low
41,Research & Development,Research Director,19545,0.10539520976331403,Yes,Low
38,Sales,Sales Executive,5343,0.10217140413365759,No,Low
27,Research & Development,Research Scientist,3445,0.10147680106002221,No,Low
51,Research & Development,Research Director,19537,0.1000367326476363,No,Low
23,Research & Development,Research Scientist,2904,0.09870637120355631,No,Low
33,Research & Development,Research Scientist,2911,0.09859469843237471,No,Low
38,Research & Development,Research Scientist,2821,0.09686363010056469,No,Low
33,Sales,Sales Executive,5147,0.0960917923617564,No,Low
42,Human Resources,Human Resources,6272,0.0947669143862422,No,Low
37,Research & Development,Research Director,13664,0.09474089333083469,No,Low
41,Research & Development,Healthcare Representative,6811,0.09263831633051284,No,Low
26,Research & Development,Laboratory Technician,4420,0.08984009324326854,No,Low
27,Research & Development,Research Scientist,2279,0.08958848045606758,No,Low
22,Research & Development,Research Scientist,2323,0.08621177703086551,No,Low
41,Sales,Manager,16015,0.08603483266075884,No,Low
30,Human Resources,Human Resources,2064,0.08178750054246182,No,Low
35,Research & Development,Research Scientist,2506,0.08146626557608373,No,Low
52,Research & Development,Manufacturing Director,7969,0.07951132559631037,No,Low
36,Sales,Sales Executive,5406,0.0785199168295947,No,Low
35,Research & Development,Research Scientist,2977,0.07685511587542884,No,Low
41,Human Resources,Manager,19189,0.07591554423223525,No,Low
28,Research & Development,Research Scientist,3591,0.07522540118757957,No,Low
56,Human Resources,Manager,19717,0.07442819837963272,No,Low
43,Sales,Manager,16064,0.07336426117929916,No,Low
24,Research & Development,Manufacturing Director,4377,0.07241150850452095,No,Low
43,Research & Development,Healthcare Representative,7510,0.07154543386465925,No,Low
49,Sales,Sales Executive,5390,0.06943206976233098,No,Low
34,Sales,Sales Executive,4759,0.0685634235893333,No,Low
35,Research & Development,Research Scientist,5208,0.0685039566586513,No,Low
50,Research & Development,Research Director,19237,0.0641825292352495,No,Low
42,Research & Development,Manager,19232,0.06274842119379365,No,Low
38,Sales,Sales Executive,10609,0.06133339622503996,No,Low
55,Research & Development,Manager,19187,0.060489954008959144,No,Low
59,Research & Development,Research Scientist,2177,0.060303666199464895,No,Low
56,Research & Development,Research Scientist,2066,0.05994246208180102,No,Low
35,Sales,Sales Executive,7823,0.05971850137805286,No,Low
44,Research & Development,Healthcare Representative,5033,0.058464398050861364,No,Low
43,Human Resources,Human Resources,3539,0.058348963962788894,No,Low
37,Human Resources,Human Resources,4071,0.05826034506181561,No,Low
44,Research & Development,Research Director,16328,0.057092986281506164,No,Low
46,Sales,Manager,18789,0.053409896926210364,No,Low
45,Research & Development,Manufacturing Director,5906,0.052607071573688144,No,Low
59,Research & Development,Manufacturing Director,10512,0.04867065749592165,No,Low
44,Research & Development,Manager,19190,0.04728602299388279,No,Low
58,Research & Development,Healthcare Representative,10312,0.04514294139110661,Yes,Low
52,Research & Development,Manager,19999,0.04372292050715779,No,Low
37,Research & Development,Manufacturing Director,6347,0.041650947539021856,No,Low
51,Research & Development,Healthcare Representative,13734,0.03942523582305412,No,Low
39,Sales,Sales Executive,5902,0.038996242211263396,No,Low
28,Research & Development,Research Scientist,3660,0.03697506185075694,No,Low
40,Research & Development,Healthcare Representative,4069,0.035474268112669564,No,Low
36,Research & Development,Laboratory Technician,3210,0.034943601952518576,No,Low
55,Research & Development,Research Director,19038,0.03426008981036121,No,Low
33,Research & Development,Laboratory Technician,2028,0.03229537574088979,No,Low
40,Research & Development,Healthcare Representative,6377,0.030768312689894012,No,Low
38,Sales,Sales Executive,5249,0.029206865263495377,No,Low
56,Research & Development,Research Scientist,2942,0.029115874242769593,No,Low
32,Research & Development,Research Scientist,5470,0.02905618361634824,No,Low
38,Sales,Sales Executive,4440,0.027037322334473667,No,Low
46,Research & Development,Manufacturing Director,8578,0.021251239552816166,No,Low
29,Research & Development,Research Scientist,2700,0.019861574488340965,No,Low
34,Sales,Sales Executive,4001,0.01985779462866134,No,Low
44,Research & Development,Research Scientist,2011,0.019442830856682837,No,Low
37,Research & Development,Research Director,12185,0.01874591348170576,No,Low
28,Research & Development,Research Scientist,2044,0.018374209563973117,No,Low
35,Research & Development,Manufacturing Director,6883,0.018356725023902336,No,Low
37,Research & Development,Research Scientist,2115,0.017806921581517615,No,Low
50,Research & Development,Manager,17856,0.01687189022688879,No,Low
43,Research & Development,Research Director,14336,0.015801753468717195,No,Low
45,Sales,Manager,17650,0.012858450188437134,No,Low
33,Research & Development,Research Director,16184,0.011886520347825134,No,Low
46,Research & Development,Research Director,19627,0.01133054372017084,No,Low
38,Research & Development,Healthcare Representative,9824,0.010959507674937224,No,Low
53,Research & Development,Manufacturing Director,10169,0.00854333660418708,Yes,Low
58,Research & Development,Research Director,19701,0.008401596114686861,No,Low
35,Research & Development,Healthcare Representative,5093,0.007907313623297106,No,Low
43,Research & Development,Research Director,19740,0.007234427417519344,No,Low
53,Research & Development,Research Director,14275,0.0067727267419790595,No,Low
53,Research & Development,Manager,19094,0.006720978029269514,No,Low
37,Research & Development,Healthcare Representative,5163,0.00521465532679788,No,Low
49,Research & Development,Healthcare Representative,10466,0.003891342140843227,No,Low
40,Research & Development,Research Director,19436,0.0029656256979297213,No,Low
35,Research & Development,Manufacturing Director,5762,0.002232690319629357,No,Low
40,Research & Development,Research Director,13757,0.0021554337634821503,No,Low
