EmployeeNumber,Age,Department,JobRole,OverTime,MonthlyIncome,Salary_Band,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,YearsAtCompany,TotalWorkingYears,Attrition_Flag,Attrition_Probability,Risk_Level
102,37,Research & Development,Research Director,No,13664,High,3,4,1,5,16,0,0.192,Low
103,46,Human Resources,Human Resources,Yes,5021,Mid,2,3,2,4,16,0,0.667,High
104,30,Research & Development,Laboratory Technician,Yes,5126,Mid,4,2,4,10,10,0,0.667,High
105,35,Research & Development,Research Scientist,No,2859,Low,3,3,2,6,6,0,0.208,Low
106,55,Sales,Sales Executive,No,10239,High,4,3,1,1,24,0,0.047,Low
107,38,Research & Development,Research Scientist,Yes,5329,Mid,4,3,2,13,17,0,0.057,Low
110,34,Research & Development,Manufacturing Director,No,4325,Mid,2,3,1,5,5,0,0.087,Low
112,56,Research & Development,Manufacturing Director,No,7260,High,4,2,4,6,37,0,0.135,Low
113,23,Sales,Sales Representative,No,2322,Low,1,3,3,0,3,0,0.827,High
116,51,Research & Development,Laboratory Technician,No,2075,Low,4,3,4,4,10,0,0.07,Low
117,30,Research & Development,Healthcare Representative,No,4152,Mid,4,3,3,11,11,0,0.047,Low
118,46,Sales,Sales Executive,No,9619,High,4,3,3,9,9,1,0.149,Low
119,40,Research & Development,Healthcare Representative,No,13503,High,2,2,3,22,22,0,0.574,Medium
120,51,Sales,Sales Executive,Yes,5441,Mid,4,1,3,10,11,0,0.707,High
121,30,Sales,Sales Executive,Yes,5209,Mid,2,2,3,11,11,0,0.326,Medium
124,46,Research & Development,Healthcare Representative,Yes,10673,High,1,2,3,10,21,0,0.475,Medium
125,32,Sales,Sales Executive,No,5010,Mid,3,3,2,11,12,0,0.283,Low
126,54,Research & Development,Research Director,No,13549,High,3,1,1,4,16,0,0.256,Low
128,24,Sales,Sales Executive,No,4999,Mid,3,2,1,3,4,0,0.38,Medium
129,28,Sales,Sales Executive,No,4221,Mid,3,4,2,5,5,0,0.071,Low
131,58,Sales,Sales Executive,No,13872,High,3,2,4,37,38,0,0.514,Medium
132,44,Research & Development,Laboratory Technician,No,2042,Low,2,4,2,3,17,0,0.226,Low
133,37,Human Resources,Human Resources,Yes,2073,Low,1,3,3,3,7,1,0.631,High
134,32,Research & Development,Research Scientist,No,2956,Low,1,3,4,1,1,0,0.331,Medium
137,20,Research & Development,Laboratory Technician,Yes,2926,Low,4,3,4,1,1,1,0.882,High
138,34,Research & Development,Research Scientist,No,4809,Mid,3,3,1,16,16,0,0.089,Low
139,37,Research & Development,Healthcare Representative,No,5163,Mid,4,4,3,1,17,0,0.004,Low
140,59,Human Resources,Manager,No,18844,High,4,3,3,3,30,0,0.002,Low
141,50,Research & Development,Research Director,Yes,18172,High,2,2,1,8,28,0,0.201,Low
142,25,Sales,Sales Executive,Yes,5744,Mid,3,3,3,6,6,1,0.881,High
143,25,Research & Development,Research Scientist,No,2889,Low,4,3,4,2,2,0,0.089,Low
144,22,Research & Development,Laboratory Technician,No,2871,Low,4,3,2,0,1,0,0.461,Medium
145,51,Research & Development,Healthcare Representative,No,7484,High,1,2,1,13,23,0,0.603,High
147,34,Research & Development,Laboratory Technician,Yes,6074,Mid,3,3,1,9,9,1,0.911,High
148,54,Human Resources,Manager,Yes,17328,High,4,3,4,5,23,0,0.013,Low
150,24,Research & Development,Laboratory Technician,No,2774,Low,3,3,2,5,6,0,0.446,Medium
151,34,Research & Development,Research Scientist,No,4505,Mid,2,3,3,1,12,0,0.154,Low
152,37,Sales,Sales Executive,No,7428,High,4,3,3,5,12,0,0.142,Low
153,34,Research & Development,Manager,No,11631,High,1,3,3,11,14,0,0.104,Low
154,36,Sales,Sales Executive,No,9738,High,4,3,2,9,10,0,0.153,Low
155,36,Research & Development,Laboratory Technician,No,2835,Low,4,3,1,1,7,0,0.28,Low
158,43,Sales,Manager,Yes,16959,High,4,4,3,25,25,0,0.105,Low
159,30,Research & Development,Research Scientist,No,2613,Low,3,2,1,10,10,0,0.234,Low
160,33,Sales,Sales Executive,No,6146,Mid,2,4,3,7,8,0,0.085,Low
161,56,Research & Development,Research Scientist,Yes,4963,Mid,2,3,2,5,7,1,0.758,High
162,51,Research & Development,Research Director,No,19537,High,3,3,1,20,23,0,0.132,Low
163,31,Sales,Sales Executive,Yes,6172,Mid,3,2,2,7,12,1,0.891,High
164,26,Research & Development,Research Scientist,No,2368,Low,2,2,3,5,5,0,0.214,Low
165,58,Research & Development,Healthcare Representative,No,10312,High,4,2,4,40,40,1,0.245,Low
167,19,Sales,Sales Representative,Yes,1675,Low,3,2,4,0,0,1,0.968,High
169,22,Research & Development,Laboratory Technician,No,2523,Low,4,3,3,2,3,0,0.601,High
170,49,Research & Development,Manufacturing Director,No,6567,High,1,2,3,15,16,0,0.029,Low
171,43,Research & Development,Research Scientist,No,4739,Mid,3,3,2,3,18,0,0.223,Low
174,50,Sales,Sales Executive,No,9208,High,4,3,3,2,16,0,0.35,Medium
175,31,Sales,Sales Executive,Yes,4559,Mid,3,3,2,2,4,1,0.928,High
176,41,Sales,Sales Executive,Yes,8189,High,3,3,3,9,12,0,0.254,Low
177,26,Human Resources,Human Resources,No,2942,Low,3,3,3,8,8,0,0.095,Low
178,36,Research & Development,Manufacturing Director,No,4941,Mid,2,3,2,3,7,0,0.146,Low
179,51,Research & Development,Manufacturing Director,No,10650,High,4,3,1,4,18,1,0.329,Medium
182,39,Sales,Sales Executive,No,5902,Mid,3,4,4,15,17,0,0.025,Low
183,25,Sales,Sales Executive,No,8639,High,3,3,1,2,6,0,0.564,Medium
184,30,Human Resources,Human Resources,Yes,6347,Mid,4,1,3,11,12,0,0.386,Medium
190,32,Research & Development,Laboratory Technician,No,4200,Mid,1,4,1,5,10,1,0.744,High
192,45,Research & Development,Research Scientist,No,3452,Low,4,2,3,6,9,0,0.313,Medium
193,38,Research & Development,Research Scientist,Yes,4317,Mid,3,3,4,3,19,0,0.604,High
194,30,Research & Development,Research Scientist,No,2632,Low,3,2,1,5,5,0,0.328,Medium
195,32,Sales,Sales Executive,No,4668,Mid,4,4,4,8,9,0,0.027,Low
197,30,Research & Development,Research Scientist,No,3204,Low,1,3,4,3,8,0,0.26,Low
198,30,Research & Development,Laboratory Technician,No,2720,Low,4,3,2,5,6,0,0.498,Medium
199,41,Research & Development,Manager,No,17181,High,1,2,4,7,21,0,0.188,Low
200,41,Research & Development,Laboratory Technician,No,2238,Low,1,3,3,5,7,0,0.283,Low
201,19,Research & Development,Laboratory Technician,No,1483,Low,2,3,2,1,1,0,0.598,Medium
202,40,Research & Development,Research Scientist,No,5605,Mid,2,3,2,20,20,0,0.199,Low
204,35,Sales,Sales Executive,No,7295,High,2,3,3,10,10,0,0.136,Low
205,53,Sales,Sales Representative,Yes,2306,Low,3,1,2,7,13,0,0.877,High
206,45,Research & Development,Laboratory Technician,No,2348,Low,2,1,2,17,20,0,0.178,Low
207,32,Sales,Sales Executive,No,8998,High,4,3,2,9,9,0,0.321,Medium
208,29,Research & Development,Manufacturing Director,No,4319,Mid,3,3,4,10,10,0,0.003,Low
211,51,Research & Development,Manufacturing Director,No,6132,Mid,3,3,2,1,10,0,0.178,Low
214,58,Research & Development,Research Scientist,Yes,3346,Low,2,2,2,1,9,0,0.746,High
215,40,Sales,Sales Executive,No,10855,High,4,2,3,12,15,0,0.201,Low
216,34,Sales,Sales Representative,No,2231,Low,3,3,3,4,6,0,0.585,Medium
217,22,Research & Development,Research Scientist,No,2323,Low,4,3,3,2,2,0,0.059,Low
218,27,Research & Development,Research Scientist,No,2024,Low,2,1,4,2,6,0,0.067,Low
221,28,Research & Development,Research Scientist,No,2713,Low,4,1,3,5,5,0,0.327,Medium
223,57,Research & Development,Healthcare Representative,Yes,9439,High,4,1,3,5,12,0,0.144,Low
224,27,Research & Development,Research Scientist,Yes,2566,Low,3,2,3,1,1,0,0.192,Low
226,50,Research & Development,Manager,No,19926,High,2,3,3,5,21,0,0.058,Low
227,41,Research & Development,Research Scientist,No,2451,Low,3,3,1,9,13,0,0.119,Low
228,30,Sales,Sales Executive,No,9419,High,4,3,2,10,12,0,0.148,Low
230,38,Sales,Sales Executive,No,8686,High,4,4,1,8,12,0,0.217,Low
231,32,Research & Development,Research Scientist,No,3038,Low,3,3,3,5,8,0,0.326,Medium
233,27,Research & Development,Research Scientist,Yes,3058,Low,2,2,3,5,6,0,0.817,High
235,19,Sales,Sales Representative,No,2325,Low,1,4,3,0,1,1,0.948,High
238,36,Research & Development,Laboratory Technician,No,2088,Low,2,2,4,8,13,0,0.795,High
239,30,Research & Development,Laboratory Technician,No,3072,Low,1,3,3,12,12,0,0.07,Low
240,45,Sales,Sales Executive,Yes,5006,Mid,1,4,3,5,9,0,0.353,Medium
241,56,Research & Development,Research Scientist,Yes,4257,Mid,1,3,3,2,19,0,0.194,Low
242,33,Research & Development,Research Scientist,No,2500,Low,4,4,3,3,4,0,0.2,Low
243,19,Research & Development,Laboratory Technician,No,1102,Low,4,2,2,1,1,1,0.652,High
244,46,Sales,Sales Executive,No,10453,High,1,3,2,24,24,0,0.18,Low
245,38,Research & Development,Laboratory Technician,No,2288,Low,4,3,3,2,2,0,0.234,Low
246,31,Research & Development,Research Scientist,Yes,3929,Mid,4,3,3,4,7,0,0.647,High
247,34,Research & Development,Research Scientist,No,2311,Low,2,3,4,3,9,0,0.246,Low
248,41,Sales,Sales Representative,Yes,3140,Low,2,2,2,4,4,1,0.873,High
249,50,Research & Development,Laboratory Technician,No,3690,Mid,3,2,3,3,5,0,0.251,Low
250,53,Research & Development,Manufacturing Director,No,4450,Mid,1,3,4,4,5,0,0.023,Low
252,33,Research & Development,Research Scientist,No,2756,Low,2,3,4,8,8,0,0.023,Low
253,40,Research & Development,Manager,No,19033,High,3,3,4,20,21,0,0.062,Low
254,55,Research & Development,Research Director,No,18722,High,2,3,3,24,36,0,0.007,Low
256,34,Research & Development,Manufacturing Director,No,9547,High,3,2,4,10,10,0,0.039,Low
258,51,Research & Development,Healthcare Representative,No,13734,High,2,3,4,7,21,0,0.015,Low
259,52,Research & Development,Manager,No,19999,High,3,3,3,33,34,0,0.079,Low
260,27,Research & Development,Research Scientist,No,2279,Low,2,2,4,7,7,0,0.09,Low
261,35,Research & Development,Manufacturing Director,Yes,5916,Mid,3,3,2,1,8,1,0.911,High
262,43,Research & Development,Research Scientist,No,2089,Low,4,4,4,5,7,0,0.006,Low
264,45,Research & Development,Manager,No,16792,High,4,3,1,20,22,0,0.148,Low
267,37,Research & Development,Research Scientist,Yes,3564,Low,1,2,2,8,8,0,0.688,High
269,35,Research & Development,Laboratory Technician,No,4425,Mid,2,3,2,6,10,0,0.873,High
270,42,Research & Development,Manufacturing Director,No,5265,Mid,3,3,3,5,11,0,0.003,Low
271,38,Research & Development,Manufacturing Director,No,6553,High,3,3,4,1,14,0,0.157,Low
273,38,Research & Development,Manufacturing Director,No,6261,Mid,4,1,4,7,9,0,0.052,Low
274,27,Research & Development,Manufacturing Director,No,4298,Mid,1,3,3,2,6,0,0.844,High
275,49,Research & Development,Manufacturing Director,Yes,6804,High,4,3,4,7,7,0,0.005,Low
277,34,Research & Development,Research Scientist,Yes,3815,Mid,3,4,4,5,5,0,0.27,Low
281,40,Research & Development,Laboratory Technician,Yes,2741,Low,4,4,3,7,15,0,0.829,High
282,38,Research & Development,Healthcare Representative,Yes,6673,High,1,3,2,1,17,1,0.739,High
283,29,Sales,Sales Executive,No,7639,High,4,2,2,10,10,1,0.072,Low
284,22,Research & Development,Research Scientist,Yes,2328,Low,2,2,4,4,4,0,0.382,Medium
286,36,Research & Development,Laboratory Technician,No,2153,Low,4,3,2,8,8,0,0.659,High
287,40,Research & Development,Healthcare Representative,No,4876,Mid,4,1,4,3,5,0,0.063,Low
288,46,Research & Development,Healthcare Representative,No,9396,High,1,3,4,4,17,0,0.028,Low
291,32,Sales,Sales Executive,No,10400,High,4,2,4,14,14,1,0.225,Low
292,30,Research & Development,Manufacturing Director,No,8474,High,3,3,3,11,12,0,0.057,Low
293,27,Sales,Sales Executive,No,9981,High,3,3,4,7,7,0,0.139,Low
296,51,Research & Development,Research Director,No,12490,High,2,1,2,10,16,0,0.025,Low
297,30,Research & Development,Research Scientist,Yes,2657,Low,1,3,4,5,8,1,0.645,High
298,41,Sales,Manager,Yes,13591,High,4,3,4,1,16,0,0.09,Low
299,30,Sales,Sales Executive,No,6696,High,1,2,3,6,9,1,0.928,High
300,29,Research & Development,Research Scientist,No,2058,Low,3,2,3,6,7,1,0.41,Medium
302,45,Sales,Sales Executive,No,8865,High,4,3,4,19,23,0,0.131,Low
303,54,Sales,Sales Executive,No,5940,Mid,1,3,4,6,16,0,0.03,Low
304,36,Research & Development,Laboratory Technician,No,5914,Mid,2,4,4,13,16,0,0.24,Low
305,33,Research & Development,Research Scientist,No,2622,Low,2,3,3,3,7,0,0.242,Low
306,37,Research & Development,Research Director,Yes,12185,High,4,3,2,10,10,0,0.081,Low
307,38,Sales,Sales Executive,No,10609,High,3,2,1,16,17,0,0.03,Low
308,31,Research & Development,Manufacturing Director,No,4345,Mid,3,3,3,5,6,0,0.006,Low
309,59,Research & Development,Research Scientist,No,2177,Low,4,3,3,1,7,0,0.08,Low
311,37,Sales,Sales Representative,No,2793,Low,4,3,1,9,13,0,0.255,Low
312,29,Sales,Sales Executive,No,7918,High,4,3,2,11,11,0,0.137,Low
314,35,Sales,Sales Executive,No,8789,High,3,4,3,10,10,0,0.224,Low
315,29,Research & Development,Research Scientist,Yes,2389,Low,4,2,3,4,4,1,0.834,High
316,52,Research & Development,Laboratory Technician,No,3212,Low,4,2,3,2,6,0,0.444,Medium
319,42,Research & Development,Manager,No,19232,High,4,3,3,22,22,0,0.06,Low
321,59,Human Resources,Human Resources,No,2267,Low,3,2,2,2,7,0,0.422,Medium
323,50,Sales,Manager,No,19517,High,4,2,4,7,32,0,0.001,Low
325,33,Research & Development,Laboratory Technician,Yes,2436,Low,4,1,3,5,8,1,0.778,High
327,43,Sales,Manager,Yes,16064,High,4,3,4,17,22,0,0.016,Low
328,33,Research & Development,Laboratory Technician,No,2707,Low,1,4,1,9,13,1,0.414,Medium
329,52,Sales,Manager,Yes,19068,High,3,4,1,33,33,0,0.685,High
330,32,Sales,Sales Representative,No,3931,Mid,2,3,3,4,6,0,0.427,Medium
331,32,Research & Development,Laboratory Technician,Yes,3730,Mid,3,1,4,3,4,1,0.794,High
332,39,Research & Development,Laboratory Technician,No,2232,Low,3,3,3,3,7,0,0.171,Low
333,32,Sales,Sales Executive,No,4465,Mid,4,3,3,3,4,0,0.041,Low
334,41,Research & Development,Research Scientist,No,3072,Low,1,2,3,1,17,0,0.197,Low
335,40,Research & Development,Research Scientist,No,3319,Low,4,3,1,9,9,0,0.334,Medium
336,45,Research & Development,Manager,No,19202,High,4,3,3,24,25,0,0.072,Low
337,31,Research & Development,Research Director,No,13675,High,3,3,2,2,9,0,0.08,Low
338,33,Research & Development,Research Scientist,No,2911,Low,4,2,3,2,2,0,0.09,Low
339,34,Research & Development,Manufacturing Director,No,5957,Mid,1,3,4,11,13,0,0.214,Low
340,37,Research & Development,Research Scientist,No,3920,Mid,1,2,3,3,17,0,0.219,Low
341,45,Research & Development,Manufacturing Director,No,6434,Mid,3,3,1,3,9,0,0.234,Low
342,37,Research & Development,Manufacturing Director,No,10048,High,3,3,1,1,17,1,0.267,Low
343,39,Research & Development,Healthcare Representative,No,10938,High,3,3,3,19,20,0,0.595,Medium
346,29,Research & Development,Research Scientist,No,2340,Low,4,3,3,6,6,0,0.16,Low
347,42,Research & Development,Research Scientist,Yes,6545,High,1,3,4,3,10,0,0.569,Medium
349,29,Sales,Sales Executive,No,6931,High,4,3,4,3,10,0,0.05,Low
350,25,Research & Development,Manufacturing Director,No,4898,Mid,3,3,1,4,5,0,0.086,Low
351,42,Research & Development,Laboratory Technician,Yes,2593,Low,1,3,4,9,10,0,0.511,Medium
352,40,Research & Development,Research Director,No,19436,High,3,3,1,21,22,0,0.005,Low
353,51,Research & Development,Research Scientist,No,2723,Low,4,2,3,1,1,0,0.21,Low
355,31,Research & Development,Laboratory Technician,No,3479,Low,2,4,3,5,6,1,0.842,High
359,32,Research & Development,Laboratory Technician,No,2794,Low,2,1,2,5,5,0,0.66,High
361,38,Sales,Sales Executive,No,5249,Mid,4,3,4,8,13,0,0.018,Low
362,32,Research & Development,Laboratory Technician,No,2176,Low,1,3,4,6,9,0,0.746,High
363,46,Sales,Manager,Yes,16872,High,2,2,3,7,28,0,0.793,High
364,28,Research & Development,Laboratory Technician,No,3485,Low,3,1,1,0,5,1,0.701,High
366,29,Sales,Sales Executive,No,6644,High,2,3,1,0,10,0,0.429,Medium
367,31,Research & Development,Healthcare Representative,No,5582,Mid,4,3,2,9,10,0,0.279,Low
369,25,Research & Development,Healthcare Representative,No,4000,Mid,1,3,2,6,6,0,0.009,Low
372,45,Research & Development,Healthcare Representative,Yes,13496,High,4,3,3,20,21,0,0.164,Low
373,36,Research & Development,Laboratory Technician,No,3210,Low,4,3,4,15,16,0,0.048,Low
374,55,Research & Development,Manager,Yes,19045,High,1,3,4,36,37,0,0.472,Medium
376,47,Research & Development,Manager,Yes,11849,High,2,2,1,10,10,1,0.318,Medium
377,28,Research & Development,Research Scientist,No,2070,Low,4,2,4,5,5,0,0.032,Low
378,37,Sales,Sales Executive,No,6502,Mid,4,4,3,5,7,0,0.115,Low
379,21,Research & Development,Research Scientist,No,3230,Low,3,4,4,3,3,0,0.347,Medium
380,37,Research & Development,Research Director,Yes,13603,High,4,3,1,5,15,0,0.009,Low
381,35,Research & Development,Manager,No,11996,High,2,2,2,7,10,0,0.101,Low
382,38,Sales,Sales Executive,Yes,5605,Mid,1,3,1,8,8,0,0.666,High
384,26,Research & Development,Manufacturing Director,No,6397,Mid,2,1,3,6,6,0,0.024,Low
385,50,Research & Development,Research Director,No,19144,High,2,2,1,10,28,0,0.01,Low
386,53,Research & Development,Research Director,Yes,17584,High,3,2,3,5,21,0,0.043,Low
387,42,Sales,Sales Executive,No,4907,Mid,3,3,2,20,20,0,0.109,Low
388,29,Sales,Sales Executive,No,4554,Mid,4,2,2,10,10,0,0.163,Low
389,55,Research & Development,Laboratory Technician,Yes,5415,Mid,4,3,2,10,12,0,0.495,Medium
390,26,Research & Development,Healthcare Representative,Yes,4741,Mid,1,3,1,5,5,0,0.934,High
391,37,Research & Development,Research Scientist,No,2115,Low,4,3,4,17,17,0,0.05,Low
392,44,Research & Development,Laboratory Technician,Yes,3161,Low,3,1,4,1,19,1,0.7,High
393,38,Research & Development,Healthcare Representative,No,5745,Mid,4,3,4,2,10,0,0.128,Low
394,26,Research & Development,Laboratory Technician,Yes,2373,Low,2,3,1,3,5,1,0.854,High
395,28,Research & Development,Research Scientist,No,3310,Low,4,3,4,5,5,0,0.049,Low
396,49,Research & Development,Research Director,Yes,18665,High,1,3,3,3,22,0,0.828,High
397,36,Research & Development,Research Scientist,No,4485,Mid,2,3,3,8,10,0,0.872,High
399,31,Sales,Sales Representative,No,2789,Low,2,2,4,2,2,0,0.455,Medium
401,26,Sales,Sales Executive,Yes,5828,Mid,4,3,4,8,8,1,0.92,High
403,37,Research & Development,Research Scientist,Yes,2326,Low,4,2,2,4,4,0,0.681,High
404,42,Sales,Sales Executive,No,13525,High,2,4,3,20,23,0,0.802,High
405,18,Research & Development,Laboratory Technician,No,1420,Low,3,3,3,0,0,1,0.57,Medium
406,35,Sales,Sales Executive,No,8020,High,2,2,3,11,12,0,0.202,Low
407,36,Research & Development,Laboratory Technician,No,3688,Mid,4,3,3,1,4,0,0.218,Low
408,51,Research & Development,Manufacturing Director,No,5482,Mid,2,3,4,4,13,0,0.087,Low
410,41,Sales,Manager,No,16015,High,2,3,4,22,22,0,0.075,Low
411,18,Sales,Sales Representative,No,1200,Low,3,3,4,0,0,0,0.706,High
412,28,Research & Development,Healthcare Representative,No,5661,Mid,1,3,2,8,9,0,0.101,Low
416,31,Sales,Sales Executive,No,6929,High,4,2,2,8,10,0,0.467,Medium
417,39,Research & Development,Healthcare Representative,No,9613,High,4,2,3,18,19,0,0.003,Low
419,36,Research & Development,Laboratory Technician,No,5674,Mid,2,3,2,9,11,0,0.083,Low
420,32,Sales,Sales Executive,No,5484,Mid,3,2,4,13,13,0,0.067,Low
421,38,Research & Development,Research Director,No,12061,High,2,3,1,10,19,0,0.099,Low
422,58,Research & Development,Healthcare Representative,Yes,5660,Mid,3,3,4,5,12,0,0.113,Low
423,31,Research & Development,Research Scientist,Yes,4821,Mid,4,3,3,5,6,0,0.507,Medium
